Index	"lymphoma, blood"	"renal cell carcinoma, kidney"	"hepatocellular carcinoma, liver"	"lung adenocarcinoma, lung"	"ovarian adenocarcinoma, ovary"	"pancreatic adenocarcinoma, pancreas"	"prostate adenocarcinoma, prostate gland"	"gastric adenocarcinoma, stomach"	"follicular thyroid carcinoma, thyroid gland"	"bladder transitional cell carcinoma, urinary bladder"	"endometrial adenocarcinoma, uterus"	variance
ENSG00000121552/CSTA	0.432959407	2.321928095	1	-1.736965594	-1.222392421	1.906890596	-0.485426827	-9.826548487	-0.485426827	2.86507042	3.169925001	12.96299382
ENSG00000105427/CNFN	-0.222392421	1	2	1.736965594	2.321928095	-2.169925001	0	-9.470997734	1.736965594	1.584962501	3.321928095	12.41229997
ENSG00000154175/ABI3BP	7.129283017	1.807354922	-1.222392421	-3.807354922	-4	1.152003093	0	-1.321928095	-2.321928095	-4.491853096	-4.321928095	12.15932231
ENSG00000101443/WFDC2	-1	-0.436099115	-1.415037499	1.487793842	8.317412614	2.087462841	-5.314257082	-2.584962501	0.762960803	-1.426264755	2.184128096	12.06082586
ENSG00000180871/CXCR2	-10.88417052	-0.415037499	-1	-2.736965594	0	1.584962501	-3.321928095	-5.321928095	0	-1.584962501	0	12.05340317
ENSG00000124713/GNMT	-2	-1.222392421	-2.195015982	-0.678071905	-2.321928095	-9.914385132	4.584962501	0.584962501	-0.584962501	0.584962501	-0.169925001	12.0377918
ENSG00000196754/S100A2	-1	-3.64385619	1	1.807354922	4.700439718	3.321928095	-0.807354922	-7.06608919	1	3.105534414	3.152003093	12.00140606
ENSG00000168389/MFSD2A	1.906890596	0.584962501	-3.754887502	-1.64385619	1.321928095	4.321928095	-8.212699025	-1.807354922	0.415037499	1.736965594	2.321928095	11.97846286
ENSG00000170439/METTL7B	-5.321928095	-0.229481846	-0.091630475	3	6.129283017	2.321928095	-4.64385619	-0.523561956	3.169925001	3.321928095	1	11.8253924
ENSG00000224631/RPS27AP16	-3.321928095	4.321928095	4.64385619	0.144389909	-4.247927513	-6.491853096	0.142019005	2.321928095	0	-1.378511623	-1.362570079	11.81726114
ENSG00000251791/SCARNA6	0	1.584962501	-1	0	-2.321928095	10.33873638	-0.584962501	0.415037499	-0.584962501	1.584962501	-2	11.81405296
ENSG00000064655/EYA2	5.321928095	-2.584962501	-2.321928095	1	8.076815597	2	0.830074999	-3.491853096	-0.874469118	1.415037499	1.111031312	11.75269574
ENSG00000135480/KRT7	0.415037499	-2.321928095	-0.736965594	-0.057715498	9.52160044	2.447458977	-3.169925001	0	-0.133088233	2.867669286	-0.382719779	11.47068731
ENSG00000139055/ERP27	-1	-3.852442812	0	-0.415037499	5.129283017	-7.142107057	0	0	1.584962501	0.584962501	-5.285402219	11.42978209
ENSG00000138161/CUZD1	1.321928095	1	0	0.584962501	-0.807354922	-10.30378075	0	1	1	1.584962501	1	11.42306639
ENSG00000211959/IGHV4-39	0.263034406	1.514573173	-1.321928095	2.584962501	1.736965594	4.736965594	-3	-5.209453366	-4.459431619	4.64385619	0.584962501	11.37898183
ENSG00000047457/CP	2.807354922	4	-1.174874217	2.700439718	9.022367813	5.64385619	4.906890596	-0.736965594	-1.736965594	-0.736965594	2.222392421	11.30615728
ENSG00000092295/TGM1	-0.736965594	-0.736965594	-1	-2.736965594	3	-1.807354922	-1.906890596	-9.276124405	1.415037499	2	-4.196397213	11.19163321
ENSG00000146477/SLC22A3	4.906890596	-2.321928095	-0.91753784	-1	-5.906890596	3.906890596	1.115477217	-0.152003093	-0.807354922	-2.736965594	-5.321928095	11.14452777
ENSG00000124212/PTGIS	3.321928095	0	-0.736965594	-2.169925001	-3.857980995	3.321928095	0.485426827	-1.736965594	-3.906890596	-6.584962501	-5.94641896	11.06055505
ENSG00000112782/CLIC5	2	-4.906890596	0	-4.95419631	5.64385619	3.321928095	1.584962501	-2	-1	-1.584962501	-2.321928095	10.93086963
ENSG00000095303/PTGS1	-1.415037499	2	0	-0.415037499	5.714245518	2.099535674	-0.584962501	-2	-1	-7.22881869	-3.337869639	10.85161099
ENSG00000123610/TNFAIP6	-5.824428435	6.714245518	1	1	2.321928095	5.321928095	0	2.321928095	0	-1	2.321928095	10.82290882
ENSG00000136689/IL1RN	-5.94641896	1	-0.502500341	-0.415037499	3.321928095	4.491853096	-2.836501268	-5.417852515	0	0.628031223	1.584962501	10.67801278
ENSG00000158715/SLC45A3	2.584962501	-0.584962501	-0.736965594	0.584962501	-1.584962501	3.058893689	9.90438374	-0.321928095	-0.736965594	0.584962501	-0.584962501	10.57476508
ENSG00000019169/MARCO	-5.058893689	2.321928095	-6.076815597	-4.571541985	0	3.321928095	-0.584962501	-1.169925001	2.736965594	-3.321928095	-0.485426827	10.52167534
ENSG00000119535/CSF3R	-9.79224803	2	-0.736965594	-1.736965594	0.321928095	0.362570079	2	0.514573173	0.736965594	-1	0.263034406	10.50201101
ENSG00000138615/CILP	3.906890596	-1	-1.321928095	0.584962501	-2	1	-1.736965594	-1	-1	-8.569855608	-5.22881869	10.48047047
ENSG00000158825/CDA	-8.592457037	-0.263034406	-1.222392421	2	0.321928095	3.321928095	1	-3.539158811	1.584962501	0	0.415037499	10.44941829
ENSG00000139329/LUM	7.357552005	-2.807354922	-0.222392421	-0.499571009	-1.84434913	4.601264313	1.270089163	1.768184325	-3.392317423	-1.605721061	-0.263034406	10.40520383
ENSG00000197249/SERPINA1	-6.318919345	1.142019005	-0.179204195	-0.400879436	3.321928095	2.647698256	-4.64385619	-1.085391491	3.807354922	1.152003093	2.321928095	10.31460677
ENSG00000144218/AFF3	3.736965594	2.321928095	1	-2.736965594	-4.906890596	1.584962501	3.684498174	-2.321928095	-1	-5.321928095	-1.736965594	10.27939415
ENSG00000218227/AC136632.1	0	5.196397213	5.64385619	0.584962501	-3.736965594	-5.321928095	0.378511623	1.584962501	0.447458977	0.530514717	0	10.20615816
ENSG00000203747/FCGR3A	-6.473931188	3.415037499	-1.078002512	-2.227068909	4.459431619	4.169925001	1.584962501	2.169925001	0.415037499	0.584962501	-0.807354922	10.18488066
ENSG00000184292/TACSTD2	-1.736965594	-3.273018494	-3.321928095	-0.021533162	7.509555098	2	0.761315456	-2.63508598	2.765534746	0.77522964	1.373458396	10.12166059
ENSG00000175793/SFN	-3.321928095	0.736965594	4.906890596	2.15324626	4.544320516	5.129283017	2.793549123	-2.928741317	2.836501268	2.654225163	6.672425342	10.09532442
ENSG00000200087/SNORA73B	0	1.169925001	0.678071905	2.099535674	-0.584962501	10.29691621	0.736965594	-0.736965594	-0.169925001	3.736965594	0	10.07076773
ENSG00000255026/AC136475.3	-1.321928095	4.058893689	0	0	4.459431619	-7.033423002	-1	1.584962501	-1	2.807354922	0.415037499	9.934120752
ENSG00000272098/ENSG00000272098	-8.845490051	1.584962501	0.584962501	1	-1.321928095	-3.906890596	1	-2	0.362570079	1	1.321928095	9.925937593
ENSG00000167644/C19orf33	-3.321928095	2.807354922	-0.584962501	-0.387023123	7.022367813	5.857980995	-1.736965594	-0.802963153	1.736965594	1.24961389	-0.215728691	9.904002674
ENSG00000019102/VSIG2	-3.906890596	-1.736965594	-2.321928095	-2.095157233	1	5.22881869	3.392317423	-1.830074999	0	-0.561878888	-5.857980995	9.902637397
ENSG00000133110/POSTN	6.906890596	0	1	1.584962501	1.906890596	7.475733431	0	1.308122295	1.222392421	0.514573173	-3.807354922	9.8883307
ENSG00000182253/SYNM	1	2	1.514573173	-2.473931188	-3	0	-1.099535674	-4.129283017	-1	-8.930737338	-3.321928095	9.810874155
ENSG00000115414/FN1	4.321928095	3.273018494	0.472881574	-1.860275236	0.621488377	5.776103988	-4.810214576	2.11042399	3.101538026	-2.321928095	1	9.801593875
ENSG00000169385/RNASE2	-9.008428622	2.321928095	1.584962501	1	0.736965594	1	0.584962501	2.321928095	0	0	0.263034406	9.734211606
ENSG00000203813/ENSG00000203813	-3.473931188	2.169925001	3.321928095	2.321928095	2.152003093	8.813781191	2.736965594	0	0	3	5.321928095	9.714123559
ENSG00000168447/SCNN1B	1.584962501	-6.64385619	0	-1.584962501	-1	-2.807354922	-1	-7.6794801	-1	-2.222392421	2.736965594	9.646960351
ENSG00000185633/NDUFA4L2	3.321928095	7.77478706	3.321928095	-0.847996907	0.415037499	-1.584962501	0.514573173	-4.087462841	0.678071905	2.321928095	2.514573173	9.636711915
ENSG00000137033/IL33	7.22881869	0.584962501	-2	-2.64385619	-0.514573173	2.152003093	0.807354922	-1	-3	-3.807354922	-2	9.603362788
ENSG00000240864/IGKV1-16	-0.584962501	1.321928095	-2.906890596	1.152003093	2.584962501	4.321928095	-1.736965594	-4.930737338	-4.321928095	3.321928095	-1.584962501	9.57549008
ENSG00000180535/BHLHA15	1.584962501	1.584962501	1	2.321928095	3	-7.906890596	2.321928095	-0.736965594	-2.321928095	0	1	9.494983671
ENSG00000212443/SNORA53	-1.321928095	0.415037499	-0.321928095	0	-2.321928095	9.212699025	0	-1	0.584962501	2.321928095	-0.514573173	9.476299419
ENSG00000147257/GPC3	-1	-4.807354922	5.894817763	-3.485426827	-3.169925001	0	-1.584962501	1.584962501	-4.736965594	-1.321928095	-1.584962501	9.441757226
ENSG00000270066/AL356488.2	-2	0.415037499	0	-0.415037499	-1	9.550746785	0	-0.222392421	-0.514573173	1.222392421	-0.321928095	9.437512011
ENSG00000106772/PRUNE2	1	1.263034406	-1.584962501	-1.321928095	1.736965594	1.321928095	0.321928095	-3.099535674	-0.584962501	-7.906890596	-5.321928095	9.424427383
ENSG00000206082/ENSG00000206082	-6.471675214	2.584962501	0	-0.584962501	-1.736965594	-4.906890596	1.321928095	-1	0	4.321928095	0.152003093	9.38203279
ENSG00000156113/KCNMA1	3.906890596	3.321928095	-1	-1.321928095	0	0.678071905	-0.807354922	-2.514573173	-1.584962501	-6.781359714	-4.321928095	9.377871809
ENSG00000240694/PNMA2	4.321928095	3.321928095	-1.584962501	-0.736965594	0.584962501	3.058893689	-4.321928095	0.584962501	-0.807354922	-2	-5.321928095	9.369969877
ENSG00000166482/MFAP4	5.392317423	-1.807354922	-2	-3.584962501	-4.666756592	-0.378511623	1.263034406	-1.753360032	-4.426264755	-5.014950341	-3.169925001	9.367779003
ENSG00000212464/SNORA12	-1.321928095	0.584962501	0	-0.584962501	-1.321928095	8.851749041	-1.584962501	-2.321928095	0	1.584962501	-0.584962501	9.229995314
ENSG00000241755/IGKV1-9	-3.736965594	1.321928095	-2.906890596	1.415037499	0.736965594	4.321928095	-3.584962501	-2.544320516	-4.459431619	3.321928095	0	9.223504687
ENSG00000138772/ANXA3	-6.824428435	-2.321928095	-1.807354922	-2.095157233	4.321928095	2	3.087462841	0.777607579	-0.514573173	-0.321928095	-1	9.179818486
ENSG00000125730/C3	7.14068778	5.235216462	-0.180113446	-0.897638282	1.075288127	1.137503524	-0.898120386	1.807354922	-0.415037499	-3.440572591	-1.245112498	9.142286039
ENSG00000185275/CD24P4	2.544320516	1.573374526	3.321928095	1.558587085	8.97441459	-0.254702188	-2.037559547	-1.175648367	-1.222592893	1.23786383	0.516500621	9.129190134
ENSG00000163710/PCOLCE2	-0.736965594	-1	1	-3	-0.584962501	1.807354922	1.736965594	-3.321928095	-4.906890596	-7.906890596	0.321928095	9.08792933
ENSG00000260027/HOXB7	4.321928095	-0.099535674	1	0.584962501	6.022367813	3.906890596	-5.607330314	2.321928095	0.415037499	1.169925001	2	9.056026454
ENSG00000162302/RPS6KA4	0.906890596	1.222392421	0.736965594	0.415037499	0.874469118	0.847996907	1	0.807354922	0.415037499	0.807354922	0.847996907	0.053986401
ENSG00000198912/C1orf174	0.415037499	0	0.415037499	0.321928095	0.222392421	0	0.415037499	0.736965594	0	0.321928095	0	0.057907818
ENSG00000087460/GNAS	0.222392421	0.436099115	0.736965594	0.433896527	0.691877705	0.118644496	0.06608919	0.067114196	0.557576613	0.530514717	0.632791026	0.062945881
ENSG00000066379/ZNRD1	0.736965594	0.415037499	0.584962501	0.736965594	0.321928095	0.584962501	0.584962501	0.584962501	1	1.222392421	0.584962501	0.064531011
ENSG00000128463/EMC4	0.192645078	0.299560282	0.777607579	0.099535674	0.415037499	0.362570079	0	0.125530882	0.093109404	0.440572591	-0.169925001	0.066075022
ENSG00000160194/NDUFV3	0.415037499	-0.415037499	0.584962501	0	0.222392421	0	0.192645078	0.263034406	0	0.192645078	0	0.06869265
ENSG00000114956/DGUOK	0.95419631	0.652076697	0.91753784	0.506959989	0.343954401	0.637429921	0.289506617	0.691877705	0.275634443	1	0.478047297	0.068757684
ENSG00000134153/EMC7	0.08246216	0.064130337	0.817135943	0.125530882	0.415037499	0.304854582	0.285402219	0.584962501	0.197939378	0.106915204	-0.103093493	0.068974367
ENSG00000066136/NFYC	0.2410081	0.192645078	0.807354922	0.362570079	0.137503524	-0.321928095	0.169925001	0.192645078	0.152003093	0.362570079	0.125530882	0.070412311
ENSG00000157916/RER1	0	0.078002512	0.514573173	0.371968777	-0.064130337	-0.093109404	0.353636955	-0.169925001	0.074000581	0.61667136	0	0.070460816
ENSG00000114125/RNF7	0.874469118	0.074000581	0.777607579	0.362570079	0.900464326	0.378511623	0.280107919	0.584962501	0.263034406	0.415037499	0.61667136	0.072527292
ENSG00000181929/PRKAG1	0.321928095	-0.222392421	0.847996907	0.415037499	0.584962501	0.222392421	0.378511623	0.321928095	0.125530882	0.263034406	0.137503524	0.073814603
ENSG00000161671/EMC10	0.341036918	0.156119202	1	0.59946207	0.345135486	0.070389328	0.289506617	0.362570079	0.533823652	0.547487795	0	0.078549497
ENSG00000181789/COPG1	0.956931278	0.367731785	0.925999419	0.645335119	0.647698256	0.678071905	0.732519689	0.637429921	0.060120992	1.078002512	0.604071324	0.078801839
ENSG00000186834/HEXIM1	-0.222392421	0	0.222392421	-0.415037499	0.530514717	0	-0.099535674	-0.362570079	0	0.341036918	0	0.081028652
ENSG00000115317/HTRA2	0.514573173	0.362570079	0.736965594	0.485426827	-0.152003093	0.321928095	0.584962501	0.321928095	0	0	0	0.08303609
ENSG00000164008/C1orf50	0.584962501	0	0	0.584962501	0	0	0.584962501	0.584962501	0	0	0.415037499	0.085103471
ENSG00000125352/RNF113A	0.347923303	0.514573173	1	0.514573173	0.459431619	-0.192645078	0.415037499	0.192645078	0.321928095	0.321928095	0.137503524	0.085579212
ENSG00000005007/UPF1	0.823122238	0.362570079	0.736965594	0	0	0.125530882	0.211504105	0.440572591	0.087462841	0.547487795	0.078002512	0.086108229
ENSG00000125818/PSMF1	0.295455884	0.584962501	0.497499659	-0.061400545	0.321928095	-0.222392421	0.378511623	0.669851398	0.120294234	0.056583528	-0.093109404	0.086186608
ENSG00000172775/FAM192A	0.289506617	0.106915204	0.514573173	0	0	0.152003093	-0.115477217	0.459431619	-0.093109404	0.540568381	-0.387023123	0.086247022
ENSG00000105705/SUGP1	0.485426827	0.321928095	1	0.321928095	0.485426827	0	0	0	0.263034406	0.263034406	0.584962501	0.089718666
ENSG00000136819/C9orf78	0	-0.447458977	0	0	0.263034406	0.222392421	0.115477217	0.652076697	0	-0.125530882	-0.378511623	0.090817038
ENSG00000162517/PEF1	0.131244533	-0.05246742	0.847996907	-0.280107919	0.061400545	0.125530882	0.157541277	-0.074000581	-0.245112498	-0.0489096	-0.087462841	0.091139852
ENSG00000141452/C18orf8	0.584962501	0.192645078	0	0	-0.192645078	0.847996907	0.263034406	0.415037499	0	0.222392421	0.415037499	0.091193104
ENSG00000169919/GUSB	-0.115477217	0.584962501	0.430634354	0.432959407	0.087462841	0	0.452512205	1	0.304854582	0.299560282	0.436099115	0.092132307
ENSG00000112335/SNX3	-0.40053793	0.201633861	0.59724083	-0.172180975	-0.019628807	0.362570079	-0.199308808	-0.127379306	-0.021061616	-0.30256277	-0.263034406	0.092562306
ENSG00000161203/AP2M1	0.169925001	0.389946518	0.959358016	0.214124805	0.614709844	0.678071905	0.158262084	0.055495113	0.218640286	0.047305715	0.674904626	0.092949856
ENSG00000103549/RNF40	0.621488377	0.540568381	0.847996907	0.280107919	-0.087462841	0.321928095	0.247927513	0.192645078	-0.08246216	0.691877705	0.144389909	0.093486862
ENSG00000177868/SVBP	0.584962501	0.152003093	1	0.637429921	0.469485283	0.736965594	0.222392421	0.584962501	0.263034406	0.125530882	0	0.09374042
ENSG00000157954/WIPI2	0.169925001	0	0.807354922	0.169925001	0.152003093	0	0.652076697	0.192645078	0	0.362570079	-0.263034406	0.093807829
ENSG00000148719/DNAJB12	-0.192645078	0	0.807354922	-0.289506617	0	0	0.125530882	0.514573173	0.137503524	0.169925001	0.137503524	0.093918295
ENSG00000126088/UROD	0.637429921	-0.044394119	0.64385619	0.371968777	-0.070389328	-0.169925001	0	0	0.163498732	-0.152003093	-0.169925001	0.094061399
ENSG00000002330/BAD	0	0.502500341	0.893084796	0.067114196	0.497499659	0	0.473931188	-0.206450877	0.295455884	0.371968777	0.251538767	0.095815303
ENSG00000270101/ENSG00000270101	0	0	0	-0.321928095	-0.321928095	-0.415037499	0	0.584962501	0	-0.584962501	0	0.096196143
ENSG00000125970/RALY	0.368387406	0.618909833	1.273018494	0.276840205	0.836501268	0.321928095	0.394278939	0.456378295	0.415037499	0.756074417	0.910732662	0.096264673
ENSG00000120656/TAF12	0.807354922	0	0.584962501	0.777607579	0.514573173	0	0	0.222392421	0.169925001	0.652076697	0.362570079	0.097663214
ENSG00000114316/USP4	-0.387023123	0	0.321928095	-0.169925001	0.152003093	0.584962501	0.362570079	0	0.152003093	0	-0.459431619	0.098501131
ENSG00000105443/CYTH2	0.415037499	0.584962501	0.584962501	0	0	0	0.807354922	0	0	0	0	0.098815102
ENSG00000171148/TADA3	0.321928095	-0.087462841	0.893084796	0.152003093	0.120294234	0.321928095	0.710493383	0.169925001	0.347923303	0.395928676	-0.206450877	0.100811266
ENSG00000103363/ELOB	0.450661409	0.131244533	0.847996907	0.566583971	1.260960078	0.753360032	0.298341275	0.393144893	0.478047297	0.318822184	0.772589504	0.101275275
ENSG00000127540/UQCR11	0.502500341	-0.206450877	0.612976877	0.308122295	0.823122238	-0.152003093	0.120294234	0.176877762	0.054447784	0	0.275634443	0.101587989
ENSG00000168884/TNIP2	0.469485283	0.263034406	0.847996907	0.347923303	0.347923303	0.169925001	1	0.289506617	0.263034406	0.469485283	1.078002512	0.101867302
ENSG00000070010/UFD1	0.222392421	0	0.584962501	0.584962501	0	0	0.321928095	0.321928095	0	0.263034406	1	0.102075827
ENSG00000087152/ATXN7L3	0	0.362570079	1	0.637429921	0	0.362570079	0.137503524	0.321928095	0.2410081	0.788495895	0.192645078	0.102186644
ENSG00000131143/COX4I1	0.823122238	-0.179323699	0.550197083	0.38466385	0.353636955	0.099535674	-0.087462841	-0.134301092	0.185555653	0.306103128	0.575860294	0.102799491
ENSG00000126903/SLC10A3	-0.263034406	0.637429921	0.736965594	0.093109404	-0.070389328	-0.169925001	0.115477217	0.093109404	0	0.432959407	0.304854582	0.103167648
ENSG00000108528/SLC25A11	0.392317423	-0.415037499	0.540568381	0.144389909	0.392317423	-0.362570079	0.231325546	0.087462841	0.120294234	0.074000581	-0.321928095	0.103844407
ENSG00000184887/BTBD6	0.807354922	0.180572246	0.321928095	0.2410081	0	0	1	0.087462841	0.180572246	0.321928095	0.523561956	0.10434579
ENSG00000175213/ZNF408	0	0.584962501	1	0.415037499	0.584962501	0	0.415037499	0	0.415037499	0	0.222392421	0.104778025
ENSG00000146282/RARS2	1	0.2410081	0.514573173	0.2410081	0	0.637429921	0.584962501	0.736965594	0	0.2410081	0.125530882	0.104787927
ENSG00000171853/TRAPPC12	0.415037499	0.415037499	0.584962501	0	-0.485426827	0.415037499	0.321928095	0	-0.222392421	0	0.263034406	0.105190879
ENSG00000142208/AKT1	0.514573173	0.584962501	0.222392421	0.106915204	0.485426827	0	1.152003093	0.415037499	0.115477217	0.115477217	0.415037499	0.105318601
ENSG00000137275/RIPK1	0.169925001	0.459431619	0.362570079	-0.125530882	0.415037499	0.652076697	0.514573173	0	-0.152003093	0	-0.362570079	0.106411459
ENSG00000006712/PAF1	0.830074999	0.137503524	0.662965013	0.067114196	-0.163498732	-0.137503524	0.332575339	-0.087462841	0.222392421	-0.047305715	0	0.106746267
ENSG00000103429/BFAR	1	0.628031223	0.678071905	0.078002512	0.378511623	0.540568381	0.289506617	1.099535674	0.378511623	0.347923303	0.125530882	0.10742755
ENSG00000239857/GET4	0.736965594	0	0.192645078	0.678071905	0	-0.169925001	0.584962501	0.152003093	0	0.678071905	0.321928095	0.108133105
ENSG00000110619/CARS	-0.485426827	0.415037499	0.415037499	0.321928095	0.736965594	0.415037499	0	0.415037499	0	0	0.321928095	0.108134739
ENSG00000167491/GATAD2A	0.280107919	0.415037499	0.584962501	-0.152003093	0.459431619	0.514573173	-0.169925001	0.678071905	0.152003093	0.893084796	0.222392421	0.108369968
ENSG00000271646/AC099343.3	0	0	0.415037499	0	0	-0.192645078	1	0.321928095	0	0	0	0.109619451
ENSG00000105254/TBCB	0.469485283	0.447458977	1.169925001	-0.099535674	0.637429921	0.847996907	0.2410081	0.530514717	0.447458977	0.211504105	0.561878888	0.110963989
ENSG00000223380/ENSG00000223380	0.658963082	0.0489096	0.125530882	0.530514717	0.706268797	0.559427409	0.032421478	0.497499659	-0.362570079	0.131244533	0.120294234	0.111246036
ENSG00000120314/WDR55	0.321928095	0.415037499	1	0.415037499	0.321928095	0.321928095	1	0.415037499	0	1	0.415037499	0.112256155
ENSG00000169131/ZNF354A	0.415037499	0.321928095	1	0	0.584962501	0	0	0.584962501	0	0	0.415037499	0.112931163
ENSG00000161526/SAP30BP	0.192645078	0.678071905	0.736965594	0	-0.192645078	-0.321928095	0.321928095	0.321928095	0	0.192645078	0.485426827	0.113056973
